RPG Life Sciences,Sun Pharma (Peer),Nifty Pharma Index
565.0322875976562,794.0511474609375,13858.9501953125
556.1278076171875,799.5260620117188,13854.25
557.1278076171875,803.1759643554688,13833.7001953125
575.4129638671875,831.31884765625,14051.150390625
586.4127197265625,825.7959594726562,13964.150390625
586.4127197265625,819.5046997070312,13862.4501953125
598.317138671875,813.2613525390625,13697.599609375
621.8402709960938,805.3851318359375,13682.7001953125
610.7453002929688,787.6157836914062,13454.900390625
594.7933959960938,776.8101196289062,13243.0498046875
579.5081176757812,769.2221069335938,12998.599609375
596.9837646484375,776.1378173828125,13092.099609375
568.0321655273438,780.0277709960938,12847.900390625
569.7940063476562,794.675537109375,12983.0498046875
564.698974609375,801.5431518554688,13179.900390625
562.413330078125,856.5321655273438,13477.5
565.603759765625,855.4756469726562,13643.650390625
567.93701171875,848.656005859375,13617.599609375
564.8894653320312,858.6452026367188,13580.2998046875
551.175537109375,852.017822265625,13381.7001953125
552.6992797851562,858.7894287109375,13444.7001953125
549.7946166992188,858.16015625,13570.2998046875
547.8422241210938,865.7595825195312,13613.0498046875
550.2232055664062,852.0128173828125,13510.2998046875
522.7953491210938,837.2494506835938,13252.150390625
533.5570068359375,848.8181762695312,13356.900390625
527.2237548828125,841.121826171875,13425.099609375
532.7950439453125,835.0228881835938,13324.400390625
529.1285400390625,835.3617553710938,13208.7998046875
508.74810791015625,816.9197387695312,13029.900390625
462.7017517089844,818.8074951171875,12954.5
475.55853271484375,813.4345703125,12976.2998046875
462.9398193359375,792.13671875,12500.099609375
478.4156188964844,805.01220703125,12899.849609375
473.7490539550781,816.9680786132812,12927.599609375
479.9870300292969,794.7020874023438,12689.5498046875
478.36798095703125,794.7020874023438,12643.75
472.65386962890625,803.1728515625,12600.150390625
471.225341796875,796.3963012695312,12546.849609375
474.0823669433594,827.7138671875,12844.849609375
492.8437805175781,840.541015625,13059.25
501.89117431640625,841.7994995117188,13077.0498046875
501.4625549316406,873.2139282226562,13399.0
495.8437194824219,863.7750244140625,13351.900390625
494.2723083496094,863.1942138671875,13318.849609375
477.03466796875,860.8223876953125,13374.5
572.4130859375,882.5075073242188,13546.0498046875
560.6514892578125,884.6372680664062,13549.5498046875
569.8417358398438,884.9277954101562,13513.150390625
570.365478515625,872.0521850585938,13569.650390625
554.746826171875,879.8452758789062,13724.5
547.5565795898438,873.5526733398438,13607.0498046875
538.0806274414062,876.9894409179688,13562.25
533.1759643554688,890.0101318359375,13771.400390625
535.0331420898438,891.2202758789062,13745.599609375
533.7474365234375,885.5569458007812,13584.099609375
558.0801391601562,879.7000732421875,13579.900390625
555.2230224609375,896.4962768554688,13789.25
560.9848022460938,899.4490356445312,13809.25
559.6038818359375,898.48095703125,13758.4501953125
559.127685546875,901.2400512695312,13815.0
569.7464599609375,895.0926513671875,13838.599609375
565.2703857421875,895.8671264648438,13837.849609375
569.175048828125,891.8980102539062,13744.650390625
574.3178100585938,906.8548583984375,13772.75
559.127685546875,897.9000854492188,13717.2998046875
558.8419799804688,892.57568359375,13522.4501953125
563.603759765625,894.0277709960938,13660.650390625
563.0324096679688,913.9703369140625,13821.2998046875
553.7944946289062,895.2861938476562,13569.849609375
553.5087890625,871.2777099609375,13296.75
557.5087280273438,888.7516479492188,13444.099609375
556.79443359375,877.1830444335938,13358.150390625
560.6038208007812,891.6075439453125,13480.0
562.5086059570312,899.0133666992188,13462.849609375
508.224365234375,893.9309692382812,13460.25
490.27239990234375,872.14892578125,13108.7998046875
494.8437194824219,850.1250610351562,13008.5
483.653564453125,855.1106567382812,12820.900390625
479.7965087890625,857.1436767578125,12785.0
466.70159912109375,834.34521484375,12596.2998046875
451.9400939941406,827.520263671875,12557.650390625
439.3690490722656,822.8734130859375,12424.4501953125
449.9878234863281,854.3361206054688,12629.5
454.0829162597656,857.3372802734375,12608.25
473.2253112792969,863.2909545898438,12745.9501953125
475.55853271484375,870.454833984375,12881.5498046875
476.1299743652344,856.3692016601562,12600.849609375
487.2724914550781,886.42822265625,13065.5
474.0823669433594,892.6240234375,12889.2001953125
473.32049560546875,880.8616943359375,12691.599609375
457.46380615234375,882.120361328125,12543.849609375
454.3210144042969,871.2293090820312,12557.5
464.89215087890625,875.0533447265625,12669.9501953125
477.8442077636719,859.9511108398438,12671.150390625
480.55841064453125,833.1351318359375,12604.4501953125
486.12969970703125,812.4664306640625,12443.75
479.41558837890625,832.11865234375,12500.349609375
476.60614013671875,837.491455078125,12418.7998046875
491.0819396972656,832.3606567382812,12412.400390625
488.41534423828125,821.1792602539062,12279.650390625
480.03460693359375,820.2112426757812,12317.7998046875
482.2726135253906,831.4409790039062,12465.900390625
487.32012939453125,818.710693359375,12419.2001953125
479.93939208984375,803.027587890625,12191.849609375
484.2725830078125,798.7196655273438,12218.5
496.9388732910156,796.057373046875,12261.349609375
489.7962341308594,788.6030883789062,12066.650390625
